y (m), ux (m/s)
1.869346733668341975e-01,4.570930477069518050e-01
1.879396984924623371e-01,4.263511355186163088e-01
1.889447236180904766e-01,3.949035507211408613e-01
1.899497487437186161e-01,3.627502933145254072e-01
1.909547738693467556e-01,3.298913632987701683e-01
1.919597989949748951e-01,2.963213817211177714e-01
1.929648241206030346e-01,2.619887968357710317e-01
1.939698492462311741e-01,2.268826154276264162e-01
1.949748743718593136e-01,1.910028374966837861e-01
1.959798994974874531e-01,1.543494630429431413e-01
1.969849246231155926e-01,1.169224920664046347e-01
1.979899497487437321e-01,7.872192456706809949e-02
1.989949748743718716e-01,3.974776054493356359e-02
2.000000000000000111e-01,1.116148291552619975e-15
